epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2815.41,0.38026,0.21243,1.10033,0.99202,0.99322,0.99416,0.96812,0.27617,0.14941,0.93779,0.00208,0.00208,0.00208
42,3361.23,0.37121,0.20603,1.0884,0.99299,0.99252,0.9942,0.96811,0.27539,0.14878,0.93712,0.001882,0.001882,0.001882
43,3910.29,0.36354,0.19481,1.07855,0.99294,0.99344,0.99427,0.96834,0.27494,0.14797,0.93666,0.001684,0.001684,0.001684
44,4461.87,0.35956,0.18903,1.07532,0.99353,0.99435,0.99432,0.96833,0.27438,0.14722,0.93615,0.001486,0.001486,0.001486
45,5015.93,0.35192,0.1838,1.07023,0.99388,0.9948,0.99434,0.96843,0.27383,0.14644,0.93568,0.001288,0.001288,0.001288
46,5565.67,0.35025,0.17965,1.06658,0.99416,0.99478,0.9944,0.96898,0.27322,0.14563,0.93524,0.00109,0.00109,0.00109
47,6118.93,0.34337,0.17458,1.05848,0.99408,0.99489,0.99444,0.96934,0.27271,0.14467,0.93472,0.000892,0.000892,0.000892
47,576.529,0.31966,0.45565,0.98593,0.99491,0.99575,0.99491,0.96862,0.27608,0.14403,0.93603,0.000892,0.000892,0.000892
48,1143.88,0.31472,0.45095,0.98441,0.99502,0.99585,0.99491,0.96834,0.27596,0.14398,0.93598,0.000694,0.000694,0.000694
49,1713.05,0.31445,0.44367,0.98502,0.99502,0.99543,0.99491,0.96859,0.27578,0.14383,0.936,0.000496,0.000496,0.000496
50,2274.36,0.31123,0.44342,0.98371,0.99545,0.99468,0.99491,0.96853,0.27557,0.14367,0.93598,0.000298,0.000298,0.000298
